method,pool_status,task_id,method_family,design_paradigm,peptide_type,input_requirement,output_type,code_url,source_status,weights_route,current_gate,next_action
PepFlow,candidate_watchlist,T2_structure_peptide_binder,full-atom peptide flow matching,structure_driven,linear_full_atom,target PDB or peptide context,peptide structure,pending_github_or_huggingface_route,metadata_only_huggingface_route_found,weights route pending,metadata_ready,verify executable route and task fit before promotion
BoltzDesign1,candidate_watchlist,T3_miniprotein_binder_baseline,all-atom structure-prediction inversion for binder design,structure_driven,miniprotein_or_peptide,target structure,binder design candidates,pending_public_workflow_route,metadata_only_public_ecosystem_to_verify,weights/model route pending,metadata_ready,confirm peptide/miniprotein workflow before promotion
moPPIt,review_only,T1_sequence_binder,motif-specific binder generation with protein language models,sequence_driven,linear,target sequence motif,peptide sequence,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,review for Related Work and future source/license audit only
EvoBind2,review_only,T1_sequence_binder,sequence-only linear/cyclic peptide binder design,sequence_driven,linear_or_cyclic,target sequence only,peptide sequence,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,review source route and cyclic capability
EvoPlay,review_only,T1_sequence_binder,self-play reinforcement learning for protein engineering,sequence_driven,linear,sequence agent score,engineered sequence,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,use only for Related Work until peptide task fit is confirmed
PPFlow,review_only,T2_structure_peptide_binder,target-aware torsional flow matching peptide design,structure_driven,linear,target PDB,peptide structure,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,disambiguate from PepFlow before audit
RFpeptides,review_only,T2_structure_peptide_binder,macrocyclic protein-binding peptide design,structure_driven,cyclic_macrocycle,target PDB,macrocyclic binder,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,assess cyclic macrocycle coverage gap
PepMimic,review_only,T2_structure_peptide_binder,binding-interface mimicry peptide design,structure_driven,linear,reference ligand interface,peptide design,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,disambiguate from PepMirror and audit source route
CpSDE,review_only,T2_structure_peptide_binder,cyclic peptide design via harmonic SDE,structure_driven,cyclic_multi_mode,target binding site,cyclic peptide,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,assess cyclic peptide representation and license
CP-Composer,review_only,T2_structure_peptide_binder,zero-shot cyclic peptide design with geometric constraints,structure_driven,cyclic,target PDB,cyclic peptide,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,assess cyclic peptide task fit
PepTune,review_only,ranking_developability,multi-objective-guided discrete diffusion therapeutic peptide design,function_property_driven,linear,property predictors without structure,property-optimized peptide,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,use for developability Related Work only
HELM-GPT,review_only,ranking_developability,macrocyclic peptide design using generative pre-trained transformer,function_property_driven,macrocyclic_ncAA,activity data without structure,HELM/macrocyclic peptide,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,review ncAA/macrocycle representation and license later
PepINVENT,review_only,T2_structure_peptide_binder,generative peptide design beyond natural amino acids,function_property_driven,ncAA_or_cyclic_atomic,ligand or peptide template,ncAA/cyclic peptide,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,review ncAA coverage gap
HelixDiff,review_only,T2_structure_peptide_binder,all-atom alpha-helical structure diffusion,structure_driven,d_peptide_alpha_helix,hotspot constraints,alpha-helical D-peptide,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,review D-peptide helix relevance
NCFlow,review_only,T2_structure_peptide_binder,non-canonical amino acid peptide flow matching,structure_driven,ncAA,protein-peptide complex template,ncAA peptide,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,review ncAA scoring and representation
EV-PLIG,review_only,ranking_rescoring,ML scoring/FEP augmented peptide-ligand ranking,function_property_driven,ncAA_or_peptide_ligand,affinity prediction plus ATM,ranking score,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,use for ranking/rescoring Related Work
EvoBind,review_only,T2_structure_peptide_binder,in silico directed evolution of peptide binders with AlphaFold,structure_driven,linear,target PDB,peptide binder,pending_source_audit,review_only_not_candidate,not_recorded,metadata_ready,review relationship to AfDesign-style baselines
