source_id,zotero_key,bibtex_key,doi,pmid,arxiv_id,title,year,venue,method_family,design_modality,input_requirement,output_type,availability_status,code_url,weights_url,pdf_status,screening_status,exclusion_reason
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,2FEDHKRQ,de_haas_rj_rapid_2024,10.1073/pnas.2314646121,38502697,,Rapid and automated design of two-component protein nanomaterials using ProteinMPNN.,2024,Proc Natl Acad Sci U S A,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,2FF2UMIX,an_l_hallucination_2023,10.1038/s41594-023-01112-6,37770718,,Hallucination of closed repeat proteins containing central pockets,2023,Nat Struct Mol Biol,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述; zotero_query:SaLT PepPr; zotero_query:peptide design,2GGHXKS1,brixi_saltpeppr_2023,10.1038/s42003-023-05464-z,,,SaLT&PepPr is an interface-predicting language model for designing peptide-guided protein degraders,2023,Communications Biology,interface-predicting protein language model,sequence/interface-conditioned degrader peptide design,target sequence and degrader/interface design context,peptide-guided protein degrader candidates,public GitHub repository and Hugging Face model card to verify,https://github.com/programmablebio/saltnpeppr,https://huggingface.co/ubiquitx/saltnpeppr,not checked,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,2H4W9G82,morehead_flowdock_2025,,,,Flowdock: Geometric flow matching for generative protein-ligand docking and affinity prediction,2025,ArXiv,generative full-atom or diffusion model,structure/sequence generative modeling,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:04_待补PDF_人工核验; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,2JS2R6P3,watson_pr_macrocyclic_2023,10.1021/acschembio.3c00113,37027789,,Macrocyclic Octapeptide Binding and Inferences on Protein Substrate Binding to Histone Deacetylase 6.,2023,ACS Chem Biol,cyclic/macrocyclic peptide design,cyclic or macrocycle structure-aware design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:AI药物设计_蛋白与多肽,2M2KQ2F7,machine_learning_hiranuma_n_improved_2021,10.1038/s41467-021-21511-x,33637700,,Improved protein structure refinement guided by deep learning based accuracy estimation,2021,Nat Commun,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,2PARGXHL,lehrich_precision_2025,10.1038/s41467-025-60457-2,,,Precision targeting of β-catenin induces tumor reprogramming and immunity in hepatocellular cancers,2025,Nature Communications,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,2QQIKN7B,wang_cellmemory_2025,10.1186/s13059-025-03638-y,,,CellMemory: hierarchical interpretation of out-of-distribution cells using bottlenecked transformer,2025,Genome Biology,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,2RTD3NCC,lou_novel_2008,10.1016/j.bmcl.2008.07.017,18656352,,A novel peptide from alpha5 helix of Asterina pectinifera cyclin B conjugated to HIV-Tat(49-57) with cytotoxic and apoptotic effects against human cancer cells.,2008,Bioorganic & medicinal chemistry letters,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,background-only,outside primary five-year window
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述; zotero_query:peptide design,2SBALQUW,householder_novo_2025,10.1126/science.adv3813,,,De novo design and structure of a peptide–centric TCR mimic binding module,2025,Science,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,2SRCTRGZ,demeo_active_2025,10.1126/science.adi8577,,,Active learning framework leveraging transcriptomics identifies modulators of disease phenotypes,2025,Science,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,2TBSKR5H,krishna_generalized_2024,10.1126/science.adl2528,,,Generalized biomolecular modeling and design with RoseTTAFold All-Atom,2024,Science,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,2UMYTBUZ,wang_identification_2021,10.3390/vaccines9101118,34696226,,Identification of HLA-A2-Restricted Mutant Epitopes from Neoantigens of Esophageal Squamous Cell Carcinoma.,2021,Vaccines,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,2UQ84I3W,weng_peptide-based_2023,10.1186/s13550-023-00982-7,37129788,,Peptide-based PET imaging agent of tumor TIGIT expression.,2023,EJNMMI research,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_query:peptide design,2UQ90CF4,wan_machine_2024,10.1038/s44222-024-00152-x,,,Machine learning for antimicrobial peptide identification and design,2024,Nature Reviews Bioengineering,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,not checked,included,
zotero_collection:AI药物设计_蛋白与多肽,2UZ2BA4M,hybrid_materials_shunzhi_wang_bond-centric_2025,10.1101/2024.10.11.617872,39416012,,Bond-centric modular design of protein assemblies,2025,Nature Materials,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,2VF7EG3C,lee_j_pan-variant_2024,10.1101/2024.08.08.606885,39149384,,A pan-variant miniprotein inhibitor protects against SARS-CoV-2 variants.,2024,bioRxiv,miniprotein/protein binder design,structure or sequence conditioned binder design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,2X8FK4JY,chen_machine_2026,10.1021/acschemneuro.5c00861,,,Machine Learning for De Novo Molecular Generation: A Comprehensive Review,2026,ACS Chemical Neuroscience,,,,,zotero metadata; runnable status not checked,,,has Zotero children,background-only,review or broad background source
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,2XD699UG,qian_development_2024,10.1016/j.apsb.2023.12.011,38486998,,Development of LAG-3/FGL1 blocking peptide and combination with radiotherapy for cancer immunotherapy.,2024,Acta pharmaceutica Sinica. B,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:AI药物设计_蛋白与多肽,2XN7X8LL,ennist_n_novo_2023,10.21203/rs.3.rs-2736786/v1,37131790,,De novo design of energy transfer proteins housing excitonically coupled chlorophyll special pairs.,2023,Res Sq,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,33XVZ7GI,broerman_aj_design_2025,10.1038/s41586-025-09549-z,40993395,,Design of facilitated dissociation enables timing of cytokine signalling,2025,Nature,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述; zotero_query:peptide design,34MKNNKD,tseng_structure-guided_2024,10.1021/acs.jcim.3c01500,,,"Structure-Guided Discovery of PD-1/PD-L1 Interaction Inhibitors: Peptide Design, Screening, and Optimization via Computation-Aided Phage Display Engineering",2024,Journal of Chemical Information and Modeling,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,3856EA4D,sun_deep_2024,10.1016/j.ijbiomac.2024.133811,,,A deep attention model for wide-genome protein-peptide binding affinity prediction at a sequence level,2024,International Journal of Biological Macromolecules,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,3A2GASTV,li_usp22_2021,10.1016/j.ymthe.2021.02.018,33601053,,USP22 deficiency in melanoma mediates resistance to T cells through IFNγ-JAK1-STAT1 signal axis.,2021,Molecular therapy : the journal of the American Society of Gene Therapy,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述; zotero_query:binder design,3AYIMQW5,bennett_improving_2023,10.1038/s41467-023-38328-5,,,Improving de novo protein binder design with deep learning,2023,Nature Communications,diffusion scaffold generation plus inverse folding sequence design,protein/miniprotein binder backbone generation and sequence assignment,"target structure, hotspot or motif constraints, design length",miniprotein/protein binder backbones and sequences,public GitHub repositories to verify,https://github.com/RosettaCommons/RFdiffusion; https://github.com/dauparas/ProteinMPNN,RFdiffusion and ProteinMPNN public model releases; verify local download route,has Zotero children,included,
zotero_collection:AI药物设计_蛋白与多肽,3EJY8RDL,deutsch_expanding_2026,10.1038/s41586-026-10459-x,,,Expanding the human proteome with microproteins and peptideins,2026,Nature,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,not checked,included,
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,3ESUX4GD,caldwell_sj_tight_2020,10.1073/pnas.2008535117,33203677,,Tight and specific lanthanide binding in a de novo TIM barrel with a large internal cavity designed by symmetric domain fusion,2020,Proc Natl Acad Sci U S A,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,3GT4ZZ5Z,jin_discovery_2024,10.1186/s12964-024-01555-4,38462636,,Discovery of a novel small molecule as CD47/SIRPα and PD-1/PD-L1 dual inhibitor for cancer immunotherapy.,2024,Cell communication and signaling : CCS,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_query:cyclic peptide design; zotero_query:peptide design,3JBXCJR2,stone_ea_isolating_2021,10.1021/acscatal.1c01097,34659874,,Isolating Conformers to Assess Dynamics of Peptidic Catalysts Using Computationally Designed Macrocyclic Peptides.,2021,ACS Catal,cyclic/macrocyclic peptide design,cyclic or macrocycle structure-aware design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,3LI6DPES,xie_recent_2023,10.1038/s41392-023-01589-z,,,Recent advances in targeting the “undruggable” proteins: from drug discovery to clinical trials,2023,Signal Transduction and Targeted Therapy,,,,,zotero metadata; runnable status not checked,,,not checked,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,3LXHQ9A3,yarmarkovich_targeting_2023,10.1038/s41586-023-06706-0,,,Targeting of intracellular oncoproteins with peptide-centric CARs,2023,Nature,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,not checked,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,3PE1C43J,li_cd47binder_2023,10.1007/s12539-023-00575-x,,,CD47Binder: Identify CD47 Binding Peptides by Combining Next-Generation Phage Display Data and Multiple Peptide Descriptors,2023,Interdisciplinary Sciences: Computational Life Sciences,miniprotein/protein binder design,structure or sequence conditioned binder design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,not checked,included,
zotero_collection:AI药物设计_蛋白与多肽,3PLU8IIK,xiao_covalent_2025,10.1038/s41467-025-56648-6,39910101,,A covalent peptide-based lysosome-targeting protein degradation platform for cancer immunotherapy.,2025,Nature communications,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,3QIJZLC7,quijano-rubio_a_novo_2021,10.1038/s41586-021-03258-z,33503651,,De novo design of modular and tunable protein biosensors,2021,Nature,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,3QYFKB2T,saragovi_a_novo_2025,10.1101/2024.06.24.600095,41279593,,De novo design of metal-oxide templating proteins.,2025,bioRxiv,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,3SNZPF6B,mansoor_s_zero-shot_2023,10.1002/pro.4780,37695922,,Zero-shot mutation effect prediction on protein stability and function using RoseTTAFold,2023,Protein Sci,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,3UJPHG6I,wu_hla-a2-restricted_2018,10.1155/2018/2942679,30596107,,HLA-A2-Restricted Epitopes Identified from MTA1 Could Elicit Antigen-Specific Cytotoxic T Lymphocyte Response.,2018,Journal of immunology research,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,3WZ62DT7,shi_immunogenicity_2013,10.1007/s00262-013-1478-7,24077852,,The immunogenicity of a novel cytotoxic T lymphocyte epitope from tumor antigen PL2L60 could be enhanced by 4-chlorophenylalanine substitution at position 1.,2013,"Cancer immunology, immunotherapy : CII",,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,3ZL5PLLK,kim_de_novo_2023,10.1073/pnas.2207974120,36897987,,De novo design of small beta barrel proteins,2023,Proc Natl Acad Sci U S A,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,42PGPXKW,wang_antitumor_2013,10.1007/s00726-012-1360-5,22802137,,Antitumor activity of novel chimeric peptides derived from cyclinD/CDK4 and the protein transduction domain 4.,2013,Amino acids,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,background-only,outside primary five-year window
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,44EHL2PX,enzymes_enzymes_kim_d_computational_2026,10.1038/s41586-025-09746-w,41339547,,Computational design of metallohydrolases,2026,Nature,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,45PB37K5,chen_deep_2025,10.1038/s42256-025-00997-w,,,Deep lead optimization enveloped in protein pocket and its application in designing potent and selective ligands targeting LTK protein,2025,Nature Machine Intelligence,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_query:miniprotein design,48FZBT8I,roy_a_novo_2023,10.1038/s41467-023-41272-z,37704610,,De novo design of highly selective miniprotein inhibitors of integrins αvβ6 and αvβ8,2023,Nat Commun,miniprotein/protein binder design,structure or sequence conditioned binder design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,4EBXI8YS,wang_predicting_2022,10.1093/bioinformatics/btac352,,,Predicting protein–peptide binding residues via interpretable deep learning,2022,Bioinformatics,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,not checked,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,4EV6BYJI,chauvin_tigit_2020,10.1136/jitc-2020-000957,,,TIGIT in cancer immunotherapy,2020,J Immunother Cancer,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_query:miniprotein design,4F6SDIBQ,huang_b_novo_2024,10.1038/s41467-024-50919-4,39152100,,De novo design of miniprotein antagonists of cytokine storm inducers.,2024,Nat Commun,miniprotein/protein binder design,structure or sequence conditioned binder design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,4HX3IAHM,simon_interplm_2025,10.1038/s41592-025-02836-7,,,InterPLM: discovering interpretable features in protein language models via sparse autoencoders,2025,Nature Methods,protein/peptide language model,sequence-conditioned generation,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,4JFIIH6P,sun_novel_2025,10.1007/s00262-025-03995-4,40105966,,A novel peptide targeting CCR7 inhibits tumor cell lymph node metastasis.,2025,"Cancer immunology, immunotherapy : CII",peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,4NLUI3DF,nijkamp_progen2_2023,10.1016/j.cels.2023.10.002,,,ProGen2: Exploring the boundaries of protein language models,2023,Cell Syst,protein/peptide language model,sequence-conditioned generation,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,4P8PJ3TW,pillai_a_novo_2024,10.1038/s41586-024-07813-2,39143214,,De novo design of allosterically switchable protein assemblies.,2024,Nature,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,4SIP4LE7,li_development_2025,10.1021/acs.nanolett.4c06123,39993319,,Development of a Cascade-Targeting Oral Vaccine via Glycoprotein 2 on Intestinal Microfold Cells for Cancer Immunotherapy.,2025,Nano letters,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:04_待补PDF_人工核验; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,4UCS289V,dou_j_novo_2018,10.1038/s41586-018-0509-0,30209393,,De novo design of a fluorescence-activating β-barrel,2018,Nature,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,4WV8A9BH,gou_metformin_2021,10.1016/j.taap.2021.115523,33838154,,Metformin leads to accumulation of reactive oxygen species by inhibiting the NFE2L1 expression in human hepatocellular carcinoma cells.,2021,Toxicology and applied pharmacology,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_query:miniprotein design,4XRCDDQ3,cao_l_novo_2020,10.1126/science.abd9909,32907861,,De novo design of picomolar SARS-CoV-2 miniprotein inhibitors,2020,Science,miniprotein/protein binder design,structure or sequence conditioned binder design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,background-only,outside primary five-year window
zotero_collection:AI药物设计_蛋白与多肽,5286JS9F,chai_discovery_chai-1_2024,10.1101/2024.10.10.615955,,,Chai-1: Decoding the molecular interactions of life,2024,bioRxiv,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述; zotero_query:binder design,548BZH8D,liu_designing_2024,10.1038/s41422-024-01029-9,,,Designing de novo D-protein binders,2024,Cell Research,miniprotein/protein binder design,structure or sequence conditioned binder design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:AI药物设计_蛋白与多肽; zotero_query:miniprotein design,55HPAQ9M,muratspahic_e_novo_2025,10.1101/2025.03.23.644666,40501737,,De novo design of miniprotein agonists and antagonists targeting G protein-coupled receptors.,2025,bioRxiv,miniprotein/protein binder design,structure or sequence conditioned binder design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
