zotero_key	bibtex_key	title
3WZ62DT7	shi_immunogenicity_2013	The immunogenicity of a novel cytotoxic T lymphocyte epitope from tumor antigen PL2L60 could be enhanced by 4-chlorophenylalanine substitution at position 1.
3ZL5PLLK	kim_de_novo_2023	De novo design of small beta barrel proteins
42PGPXKW	wang_antitumor_2013	Antitumor activity of novel chimeric peptides derived from cyclinD/CDK4 and the protein transduction domain 4.
44EHL2PX	enzymes_enzymes_kim_d_computational_2026	Computational design of metallohydrolases
45PB37K5	chen_deep_2025	Deep lead optimization enveloped in protein pocket and its application in designing potent and selective ligands targeting LTK protein
48FZBT8I	roy_a_novo_2023	De novo design of highly selective miniprotein inhibitors of integrins αvβ6 and αvβ8
4EBXI8YS	wang_predicting_2022	Predicting protein–peptide binding residues via interpretable deep learning
4EV6BYJI	chauvin_tigit_2020	TIGIT in cancer immunotherapy
4F6SDIBQ	huang_b_novo_2024	De novo design of miniprotein antagonists of cytokine storm inducers.
4HX3IAHM	simon_interplm_2025	InterPLM: discovering interpretable features in protein language models via sparse autoencoders
4JFIIH6P	sun_novel_2025	A novel peptide targeting CCR7 inhibits tumor cell lymph node metastasis.
4NLUI3DF	nijkamp_progen2_2023	ProGen2: Exploring the boundaries of protein language models
4P8PJ3TW	pillai_a_novo_2024	De novo design of allosterically switchable protein assemblies.
4SIP4LE7	li_development_2025	Development of a Cascade-Targeting Oral Vaccine via Glycoprotein 2 on Intestinal Microfold Cells for Cancer Immunotherapy.
4UCS289V	dou_j_novo_2018	De novo design of a fluorescence-activating β-barrel
4WV8A9BH	gou_metformin_2021	Metformin leads to accumulation of reactive oxygen species by inhibiting the NFE2L1 expression in human hepatocellular carcinoma cells.
4XRCDDQ3	cao_l_novo_2020	De novo design of picomolar SARS-CoV-2 miniprotein inhibitors
5286JS9F	chai_discovery_chai-1_2024	Chai-1: Decoding the molecular interactions of life
548BZH8D	liu_designing_2024	Designing de novo D-protein binders
55HPAQ9M	muratspahic_e_novo_2025	De novo design of miniprotein agonists and antagonists targeting G protein-coupled receptors.
56KIYZ8Q	methods_rosetta_courbet_a_computational_2022	Computational design of mechanically coupled axle-rotor protein assemblies
578ICKAU	park_h_high-accuracy_2019	High-accuracy refinement using Rosetta in CASP13
57H66QJB	song_review_2024	Review of phage display: A jack-of-all-trades and master of most biomolecule display
57K986LK	gu_benchmarking_2025	Benchmarking AI-powered docking methods from the perspective of virtual screening
57YQ74QD	maute_engineering_2015	Engineering high-affinity PD-1 variants for optimized immunotherapy and immuno-PET imaging
583EPEIY	chen_jy_novo_2025	De Novo Design of High-Performance Cortisol Luminescent Biosensors.
5BRP9RXM	lee_j_computationally_2026	The computationally designed TRI2-2 miniprotein inhibitor protects against multiple SARS-CoV-2 Omicron variants.
5F8YYUIV	goldbach_n_novo_2023	De novo design of monomeric helical bundles for pH-controlled membrane lysis
5GOGPC63	akdel_structural_2022	A structural biology community assessment of AlphaFold2 applications
5IA9AEAN	butcher_j_novo_2025	De novo Design of All-atom Biomolecular Interactions with RFdiffusion3.
5IAM8FFH	mpnn_machine_learning_minibinders_glasscock_cj_computational_2025	Computational design of sequence-specific DNA-binding proteins
5LBIDCJP	ben-sasson_aj_author_2021	Author Correction: Design of biologically active binary protein 2D materials
5PINYLGR	vaccines_mpnn_minibinders_ragotte_rj_novo_2025	De novo design of potent inhibitors of clostridial family toxins
5SKCTXQW	sumida_kh_improving_2024	Improving Protein Expression, Stability, and Function with ProteinMPNN.
5TWVNGEY	zeng_alphapeptdeep_2022	AlphaPeptDeep: a modular deep learning framework to predict peptide properties for proteomics
5V4XBYT9	wang_deep_2023	Deep Learning Empowers the Discovery of Self-Assembling Peptides with Over 10 Trillion Sequences
5VXIAMU7	zhang_sequence-based_2025	Sequence-based virtual screening using transformers
65BSI2LW	kortemme_novo_2024	De novo protein design—From new structures to programmable functions
65CKPU2M	niu_chidamide_2025	Chidamide functions as a VISTA/PSGL-1 blocker for cancer immunotherapy.
66QWDYLS	du_machine_2024	Machine learning-aided generative molecular design
695L91HM	sun_extracellular_2022	Extracellular vesicle IL-32 promotes the M2 macrophage polarization and metastasis of esophageal squamous cell carcinoma via FAK/STAT3 pathway
69X3EI94	peng_atom-level_2025	Atom-level generative foundation model for molecular interaction with pockets
6BC8SJFK	du_design_2018	The design of high affinity human PD-1 mutants by using molecular dynamics simulations (MD).
6C4J4KGG	meng_potn_2020	POTN: A Human Leukocyte Antigen-A2 Immunogenic Peptides Screening Model and Its Applications in Tumor Antigens Prediction
6E2USGGC	silva_da_structures_2018	Structures and disulfide cross-linking of de novo designed therapeutic mini-proteins
6EZHSQX7	zorine_d_novo_2024	De novo design of alpha-beta repeat proteins.
6FCC9483	lu_p_accurate_2018	Accurate computational design of multipass transmembrane proteins
6HFV5ITW	qian_grow_2025	Grow AI virtual cells: three data pillars and closed-loop learning
6HKPY5JZ	cattaneo_identification_2023	Identification of patient-specific CD4+ and CD8+ T cell neoantigens through HLA-unbiased genetic screens
6IA9C0C4	abanades_immunebuilder_2023	ImmuneBuilder: Deep-Learning models for predicting the structures of immune proteins
6L3IXMYX	bhat_novo_2025	De novo design of peptide binders to conformationally diverse targets with contrastive language modeling
6MB26AR7	day_al_unintended_2018	Unintended specificity of an engineered ligand-binding protein facilitated by unpredicted plasticity of the protein fold
6Q8ACPUP	wang_j_protein_2024	Protein Design Using Structure-Prediction Networks: AlphaFold and RoseTTAFold as Protein Structure Foundation Models.
6QHDJAVV	klima_jc_incorporation_2021	Incorporation of sensing modalities into de novo designed fluorescence-activating proteins
6QWRT3DZ	rodriguez_structural_2023	Structural and biological characterization of pAC65, a macrocyclic peptide that blocks PD-L1 with equivalent potency to the FDA-approved antibodies
6SKJPBA9	ben-sasson_aj_design_2021	Design of biologically active binary protein 2D materials
6XNLXG4J	zeng_self-metallized_2024	Self-Metallized Whole Cell Vaccines Prepared by Microfluidics for Bioorthogonally Catalyzed Antitumor Immunotherapy.
6Y566IVV	li_trustworthy_2026	Trustworthy Compound–Protein Interaction Prediction with Interpretable and Conformalized Cross-Attention Transformers
6Z92B83M	gokce-alpkilic_g_novo_2025	De Novo Design of High-Affinity Miniprotein Binders Targeting Francisella Tularensis Virulence Factor.
6ZXGDV4G	weitzner_bd_computational_2019	A computational method for design of connected catalytic networks in proteins
743HQA4N	li_z_accurate_2023	Accurate computational design of three-dimensional protein crystals
74JFNJBK	enzymes_kalvet_i_design_2023	Design of Heme Enzymes with a Tunable Substrate Binding Pocket Adjacent to an Open Metal Coordination Site
76HHQBFC	park_h_protein_2018	Protein homology model refinement by large-scale energy optimization
78KDKFSB	lee_latent_2025	Latent bayesian optimization via autoregressive normalizing flows
78O1X7O7	pavlovic_immuneml_2021	The immuneML ecosystem for machine learning analysis of adaptive immune receptor repertoires
78ZUNMQD	xiao_fe3-binding_2023	Fe3+-binding transferrin nanovesicles encapsulating sorafenib induce ferroptosis in hepatocellular carcinoma.
79Y2GSJN	cao_design_2022	Design of protein-binding proteins from the target structure alone
7BT4HA9E	vulovic_i_generation_2021	Generation of ordered protein assemblies using rigid three-body fusion
7BU87VV4	zhang_artificial_2025	Artificial intelligence in drug development
7BWEPR4D	yang_j_improved_2020	Improved protein structure prediction using predicted interresidue orientations
7I3RUFTM	zhao_follow-up_2020	Follow-up study of the pulmonary function and related physiological characteristics of COVID-19 survivors three months after recovery.
7I8JJMU4	ovchinnikov_s_protein_2018	Protein structure prediction using Rosetta in CASP12
7JFL4WNW	shen_h_novo_2018	De novo design of self-assembling helical protein filaments
7KHYAJB5	hanna_s_novo_2026	De novo design of a macrocycle-induced dimerization system for cellular control.
7L5XKFPT	yeh_ah_novo_2023	De novo design of luciferases using deep learning.
7OIFPUGW	yang_genecompass_2023	GeneCompass: Deciphering Universal Gene Regulatory Mechanisms with Knowledge-Informed Cross-Species Foundation Model
7RI8ZLGZ	lajoie_mj_designed_2020	Designed protein logic to target cells with precise combinations of surface antigens
7TJ7YU2Y	zhai_vitro_2019	In vitro assay for the development of small molecule inhibitors targeting PD-1/PD-L1.
7X4KBQZ3	jiang_targeting_2021	Targeting CD47 for cancer immunotherapy
7XF4SLA6	jalil_multivalent_2020	Multivalent, Soluble Nano-Self Peptides Increase Phagocytosis of Antibody-Opsonized Targets while Suppressing “Self” Signaling
7Y5ZVT5L	liu_y_bottom-up_2025	Bottom-up design of Ca channels from defined selectivity filter geometry
82IS8YC9	yan_novel_2016	A novel peptide targeting Clec9a on dendritic cell for cancer immunotherapy.
87SLRCIX	capin_j_cf2h_2026	CF2H: a cell-free two-hybrid platform for rapid protein binder screening.
89C6YRNP	gao_identification_2009	Identification of a new broad-spectrum CD8+ T cell epitope from over-expressed antigen COX-2 in esophageal carcinoma.
8A2B6HU2	agonists_cytokines_cancer_therapeutics_chun_jh_design_2025	Design of a potent interleukin-21 mimic for cancer immunotherapy
8EEG2YHZ	zhang_development_2021	Development of Toll-like Receptor Agonist-Loaded Nanoparticles as Precision Immunotherapy for Reprogramming Tumor-Associated Macrophages.
8KID3CLT	yin_rational_2021	Rational Design of Potent Peptide Inhibitors of the PD-1:PD-L1 Interaction for Cancer Immunotherapy
8LX3P9RF	masmoudi_adjusted_2025	Adjusted imbalance ratio leads to effective AI-based drug discovery against infectious disease
8MV2SGQH	baek_accurate_2023	Accurate prediction of protein-nucleic acid complexes using RoseTTAFoldNA
8NAYOLFP	alamdari_protein_2023	Protein generation with evolutionary diffusion: sequence is all you need
8NLSPL4F	yang_discovery_2025	Discovery of a Novel Selective and Cell-Active N6-Methyladenosine RNA Demethylase ALKBH5 Inhibitor.
8RWJK9F6	zhang_discovery_2025	Discovery of peptides as key regulators of metabolic and cardiovascular crosstalk
8WVJYIDL	wang_learning_2025	Learning Protein-Ligand Binding in Hyperbolic Space
949D84HC	strokach_deep_2022	Deep generative modeling for protein design
965SRDDP	mulligan_vk_computational_2020	Computational design of mixed chirality peptide macrocycles with internal symmetry
98LYP5P7	mcnutt_sprint_2024	SPRINT Enables Interpretable and Ultra-Fast Virtual Screening against Thousands of Proteomes
99ECU1MR	hartman_interpreting_2023	Interpreting biologically informed neural networks for enhanced proteomic biomarker discovery and pathway analysis
9AMWWF3K	yang_design_2025	Design of high-affinity binders to immune modulating receptors for cancer immunotherapy
9AW4IDWS	koh_ai-driven_2025	AI-driven protein design
9CX265RH	quijano-rubio_a_novo_2020	De novo design of modular and tunable allosteric biosensors.
9GZHBILG	pingitore_v_delocalized_2024	Delocalized quinolinium-macrocyclic peptides, an atypical chemotype for CNS penetration.
9LFKKJRP	antanasijevic_a_structural_2020	Structural and functional evaluation of de novo-designed, two-component nanoparticle carriers for HIV Env trimer immunogens.
9PKBRCMD	gerben_sr_design_2023	Design of Diverse Asymmetric Pockets in Homo-oligomeric Proteins
9QV82ZPZ	yang_antigen_2023	Antigen presentation in cancer — mechanisms and clinical implications for immunotherapy
9UAILLWI	coventry_b_protein_2021	Protein sequence optimization with a pairwise decomposable penalty for buried unsatisfied hydrogen bonds
A4QUGZP6	vert_how_2023	How will generative AI disrupt data science in drug discovery?
A5BCID4E	bryan_cm_computational_2021	Computational design of a synthetic PD-1 agonist
A5XA2DD3	abdin_pepnn_2022	PepNN: a deep attention model for the identification of peptide binding sites
A7ZZ64VB	lisanza_sl_publisher_2025	Publisher Correction: Multistate and functional protein design using RoseTTAFold sequence space diffusion.
AAFLE7MG	li_y_water_2025	Water, Solute, and Ion Transport in De Novo-Designed Membrane Protein Channels.
AAN2ZSXB	li_design_2025	Design of linear and cyclic peptide binders from protein sequence information
ABBVGHJ2	adams_cs_novo_2025	De novo design of protein minibinder agonists of TLR3.
AEPOWYU0	li_orally_2021	An orally available PD-1/PD-L1 blocking peptide OPBP-1-loaded trimethyl chitosan hydrogel for cancer immunotherapy
AMNPEAEN	chen_development_2023	Development of a novel peptide targeting GPR81 to suppress adipocyte-mediated tumor progression.
APWMMGU6	krapp_pesto_2023	PeSTo: parameter-free geometric deep learning for accurate prediction of protein binding interfaces
ASKCZUQK	cong_q_protein_2019	Protein interaction networks revealed by proteome coevolution
AYC7QZ6S	hickok_beyond_2025	Beyond the native repertoire
B7IL2EM8	niu_vista_2025	VISTA as a context-dependent immune checkpoint: Implications for tumor immunity and autoimmune pathogenesis.
B7XEHF2L	zhou_integrated_2024	An integrated framework for prognosis prediction and drug response modeling in colorectal liver metastasis drug discovery.
B8RXBM4U	chen_z_novo_2020	De novo design of protein logic gates
BEJRRDMV	bryant_peptide_2023	Peptide binder design with inverse folding and protein structure prediction
BFFWLHC4	xu_c_computational_2020	Computational design of transmembrane pores
BG87MTYV	sui_peptide_2023	Peptide drugs: a new direction in cancer immunotherapy
BGETGF5X	liu_research_2024	Research on Bitter Peptides in the Field of Bioinformatics: A Comprehensive Review
BGL92H57	peng_unified_2026	Unified modeling of 3D molecular generation via atomic interactions with PocketXMol
BH2ZBU8I	shen_h_nucleation_2025	Nucleation limited assembly and polarized growth of a de novo-designed allosterically modulatable protein filament.
BHXFUU4Z	silva_da_novo_2019	De novo design of potent and selective mimics of IL-2 and IL-15
BJYYHJ82	lei_deep-learning_2021	A deep-learning framework for multi-level peptide–protein interaction prediction
BM4D4Q7K	zhang_jz_thermodynamically_2022	Thermodynamically coupled biosensors for detecting neutralizing antibodies against SARS-CoV-2 variants
BPC4SH24	chazin-gray_a_novo_2025	De Novo Design of Miniprotein Inhibitors of Bacterial Adhesins.
BR4AMZPF	chen_design_2024	Design of target specific peptide inhibitors using generative deep learning and molecular dynamics simulations
BRBDQK76	zhang_pre-trained_2025	Pre-trained language models for protein and molecular design
BRNTNU2C	koepnick_b_novo_2019	De novo protein design by citizen scientists
BSDCU9SY	humphreys_ir_computed_2021	Computed structures of core eukaryotic protein complexes
BSLAFJCW	bermeo_s_novo_2022	De novo design of obligate ABC-type heterotrimeric proteins
C2S3BYTY	jiang_h_novo_2024	De novo design of buttressed loops for sculpting protein functions.
C49WDQFF	wu_identification_2023	Identification of a novel small-molecule inhibitor targeting TIM-3 for cancer immunotherapy.
C4LBTBS9	methods_nanoparticles_machine_learning_lutz_id_top-down_2023	Top-down design of protein architectures with reinforcement learning
CDDNB2ZZ	chen_z_programmable_2019	Programmable design of orthogonal protein heterodimers
CDKU6BLN	li_dietary-polysaccharide-modified_2022	Dietary-Polysaccharide-Modified Fish-Oil-Based Double Emulsion as a Functional Colloidal Formulation for Oral Drug Delivery.
CF5Y1UOX	wayment-steele_predicting_2023	Predicting multiple conformations via sequence clustering and AlphaFold2
CHNHZ5IQ	wei_interleukin-36_2021	Interleukin-36α inhibits colorectal cancer metastasis by enhancing the infiltration and activity of CD8+ T lymphocytes.
CKQ9HHWM	langan_ra_novo_2019	De novo design of bioactive protein switches
CLZ8N2SH	yang_don-loaded_2025	DON-Loaded Nanodrug-T Cell Conjugates With PD-L1 Blockade for Solid Tumor Therapy.
CM7AWCR9	zhu_three--one_2022	A Three-In-One Assembled Nanoparticle Containing Peptide-Radio-Sensitizer Conjugate and TLR7/8 Agonist Can Initiate the Cancer-Immunity Cycle to Trigger Antitumor Immune Response.
CRM22UDT	cho_boltzdesign1_2025	Boltzdesign1: Inverting All-Atom Structure Prediction Model for Generalized Biomolecular Binder Design
CRT8PKH3	chang_ranking_2023	Ranking Peptide Binders by Affinity with AlphaFold**
CSDFFJQV	de_haas_rj_novo_2023	De novo designed ice-binding proteins from twist-constrained helices.
D5XQSGVT	kong_full-atom_2025	Full-atom peptide design with geometric latent diffusion
D6JEVNLH	zhou_cellect_2025	CELLECT: contrastive embedding learning for large-scale efficient cell tracking.
D9L5NZSD	walters_what_2011	What Do Medicinal Chemists Actually Make? A 50-Year Retrospective
DEBAX25H	basanta_b_enumerative_2020	An enumerative algorithm for de novo design of proteins with diverse pocket structures
DEW7VBH6	dang_lt_receptor_2019	Receptor subtype discrimination using extensive shape complementary designed interfaces
DG8QNCE6	zhang_jz_novo_2025	De novo designed Hsp70 activator dissolves intracellular condensates.
DLI9C6MJ	white_wl_design_2026	Design of solubly expressed miniaturized SMART MHCs
DN4A2X7M	zhou_intrinsic_2018	Intrinsic Expression of Immune Checkpoint Molecule TIGIT Could Help Tumor Growth in vivo by Suppressing the Function of NK and CD8+ T Cells.
DNA39HK4	hicks_dr_novo_2022	De novo design of protein homodimers containing tunable symmetric protein pockets
DNKX2REN	yang_cross-chirality_2026	Cross-Chirality Generalization by Axial Vectors for Hetero-Chiral Protein-Peptide Interaction Design
DXF7DNFJ	zhang_deep_2024	Deep Lead Optimization: Leveraging Generative AI for Structural Modification
DXT2UDDX	lisanza_sl_multistate_2025	Multistate and functional protein design using RoseTTAFold sequence space diffusion.
DYC97DNX	yang_machine-learning-guided_2019	Machine-learning-guided directed evolution for protein engineering
DYRDV3SX	yin_leveraging_2024	Leveraging machine learning models for peptide–protein interaction prediction
E2W5962T	junker_assessment_2026	Assessment of Generative De Novo Peptide Design Methods for G Protein-Coupled Receptors
E4IUKGJG	hybrid_materials_davila-hernandez_fa_directing_2023	Directing polymorph specific calcium carbonate formation with de novo protein templates
E8J121QC	ohta_validation_2023	Validation of a New Methodology to Create Oral Drugs beyond the Rule of 5 for Intracellular Tough Targets
E8L4LAU9	peptides_machine_learning_vazquez_torres_s_novo_2024	De novo design of high-affinity binders of bioactive helical peptides
E9JVG6HZ	baker_d_what_2019	What has de novo protein design taught us about protein folding and biophysics?
E9WK6NTV	li_dual_2024	Dual targeting of TIGIT and PD-1 with a novel small molecule for cancer immunotherapy.
EBQ7CNVI	bennett_atomically_2025	Atomically accurate de novo design of antibodies with RFdiffusion
EC9I4X2D	mishra_p_miniprotein_2026	Miniprotein inhibitors of the Staphylococcus aureus efflux transporter NorA.
ECMHMDE9	nicholas_b_woodall_novo_2021	De Novo Design of Tyrosine and Serine Kinase Drive Protein Switches
EDCVUQET	ebrahimi_engineering_2023	Engineering protein-based therapeutics through structural and chemical design
EF2T9FF2	zhao_proteinpeptide_2025	Protein–peptide docking with a rational and accurate diffusion generative model
EFFY5WSW	qian_bispecific_2026	A Bispecific Peptide-Drug Conjugate Targeting LAG-3 and PD-L1 Harnesses Antitumor Immunity of Macrophages and T Cells.
EFSYJFZZ	liu_design_2025	Design of high-specificity binders for peptide–MHC-I complexes
EG9TVYKR	jiao_pd-l1_2022	A PD-L1 and VEGFR2 dual targeted peptide and its combination with irradiation for cancer immunotherapy
EH59NIH7	xiao_engineered_2026	An Engineered Nanovesicles-Based Lysosome-Targeting Protein Degradation Platform (NV-TACs) for Cancer Immunotherapy.
EHUEQYXK	anishchenko_i_novo_2021	De novo protein design by deep network hallucination
ELKFLLVU	case_jb_ultrapotent_2021	Ultrapotent miniproteins targeting the receptor-binding domain protect against SARS-CoV-2 infection and disease in mice.
EMVI3MCB	shen_h_novo_2025	De novo design of inducibly assembling multi-component filaments.
EN3TNHYU	xie_targeting_2025	Targeting FOXM1 condensates reduces breast tumour growth and metastasis
EQUWMUNI	zhang_identification_2025	Identification of Epinastine as CD96/PVR inhibitor for cancer immunotherapy.
ERFWX4FY	machine_learning_small_molecules_enzymes_anishchenko_i_modeling_2025	Modeling protein-small molecule conformational ensembles with PLACER
ERTFQCNK	chowdhury_single-sequence_2022	Single-sequence protein structure prediction using a language model and deep learning
ET7FKSI5	lyu_identification_2021	Identification of Phelligridin-Based Compounds as Novel Human CD73 Inhibitors.
EW0UQWVO	fang_knowledge_2023	Knowledge graph-enhanced molecular contrastive learning with functional prompt
EZ4E74LB	sui_integrative_2023	Integrative analysis of bulk and single-cell gene expression profiles to identify tumor-associated macrophage-derived CCL18 as a therapeutic target of esophageal squamous cell carcinoma.
F44R6C9X	chang_blocking_2015	Blocking of the PD-1/PD-L1 Interaction by a D-Peptide Antagonist for Cancer Immunotherapy
F5F5TQPE	chen_self-assembled_2025	Self-assembled Palmitic Acid-modified Thymopentin Functions as a Delivery System of Nanovaccine for Cancer Immunotherapy.
F6R4XSH8	zhu_dual_2018	The dual effects of a novel peptibody on angiogenesis inhibition and M2 macrophage polarization on sarcoma.
F6UUSFKY	brunette_tj_modular_2020	Modular repeat protein sculpting using rigid helical junctions
F730GVN3	kacen_post-translational_2023	Post-translational modifications reshape the antigenic landscape of the MHC I immunopeptidome in tumors
FC5AP2TC	wei_ky_computational_2020	Computational design of closely related proteins that adopt two well-defined but structurally divergent folds
FD2Q5R6Z	ragotte_rj_designed_2025	Designed miniproteins potently inhibit and protect against MERS-CoV
FEZDZKQW	an_l_novo_2023	De novo design of diverse small molecule binders and sensors using Shape Complementary Pseudocycles.
FF4V8LYV	passaro_boltz-2_2025	Boltz-2: Towards Accurate and Efficient Binding Affinity Prediction
FFXHBHGQ	zhang_advances_2025	Advances in cancer immunotherapy: historical perspectives, current developments, and future directions
FJBRZKRX	rettie_accurate_2025	Accurate de novo design of high-affinity protein-binding macrocycles using deep learning
FLPPWOLK	jiang_pharmacophoric-constrained_2023	Pharmacophoric-constrained heterogeneous graph transformer model for molecular property prediction
FLY7ANYZ	advani_cd47_2018	CD47 Blockade by Hu5F9-G4 and Rituximab in Non-Hodgkin's Lymphoma
FMBIDNCY	li_4-hydroxyisoleucine_2022	4-Hydroxyisoleucine inhibits tumor growth by triggering endoplasmic reticulum stress and autophagy.
FN3ANCL8	madani_large_2023	Large language models generate functional protein sequences across diverse families
FQX2XTJ7	wang_intelligent_2022	Intelligent Biomimetic Nanoplatform for Systemic Treatment of Metastatic Triple-Negative Breast Cancer via Enhanced EGFR-Targeted Therapy and Immunotherapy.
FRFY0EFS	hudson_can_2023	Can we predict T cell specificity with digital biology and machine learning?
FUGDHA4D	koga_n_role_2021	Role of backbone strain in de novo design of complex α/β protein structures.
FWD7WL66	zhao_tryptophan_2021	Tryptophan 2,3-dioxygenase 2 controls M2 macrophages polarization to promote esophageal squamous cell carcinoma progression via AKT/GSK3beta/IL-8 signaling pathway
G3TSIVRB	yang_w_past_2026	The past, present and future of de novo protein design
GFNDHZY7	bethel_np_precisely_2023	Precisely patterned nanofibres made from extendable protein multiplexes
GI4BQLRK	gregorio_ne_stimuli-triggered_2026	Stimuli-triggered formation of de novo-designed protein biomaterials.
GJ4NRYDR	nanoparticles_antibodies_divine_r_designed_2021	Designed proteins assemble antibodies into modular nanocages
GUYZRRBL	minibinders_wang_x_novo_2025	De Novo Design of Integrin α5β1 Modulating Proteins to Enhance Biomaterial Properties
H5YV5GF9	peng_characterizing_2023	Characterizing the interaction conformation between T-cell receptors and epitopes with deep learning
H8EBSP14	he_pdl1binder_2022	PDL1Binder: Identifying programmed cell death ligand 1 binding peptides by incorporating next-generation phage display data and different peptide descriptors
